INACAP;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas Críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha de Consulta: 30-01-2026 15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODO;ZONA;SEDE;CODIGO ASIGNATURA;ASIGNATURA;AREA;COD PE;PROGRAMA;COD MENCION;MENCION;PLAN;INSTITUCION;JORNADA;NIVEL;PREREQUISITO SEMESTRE SIGUIENTE;ULTIMO NIVEL;SECCIONES;ALUMNOS;PROMEDIO NOTA UNO;PROMEDIO NOTA DOS;PROMEDIO NOTA TRES;ALUMNOS EN RIESGO;PORCENTAJE REPROBACION N1;PORCENTAJE REPROBACION N2;PORCENTAJE REPROBACION N3;AYUDANTIA VIRTUAL;AYUDANTIA SEDE;ALUMNOS AYUDANTIA
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGA402;Seguridad y Salud Laboral;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;0;NO;1;27;5.9;7;6.7;0;;12.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGB121;Prevención y Control de Plagas, Enfermedades y Malezas;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-4;I.P.;DIURNA;2;0;NO;1;26;6.2;5.5;6.6;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGB122;Taller de Prácticas Agrícolas Sostenibles;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-4;I.P.;DIURNA;2;0;NO;1;27;5.9;5.7;6.3;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGC221;Sistemas de Riego;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-4;I.P.;DIURNA;2;0;NO;1;26;6;5.9;6.8;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGC306;Negocios Agrícolas;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;0;NO;1;20;4.7;5.6;7;0;;25;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGD404;Cultivos Intensivos y Sistemas Hidropónicos;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;0;NO;1;25;5.4;7;7;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGE502;Gestión de Riesgos Climáticos;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;6;0;NO;1;9;6.4;6.2;6.6;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGE504;Desarrollo Mercado Exportador;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;8;0;SI;1;7;6.9;6.7;7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGE505;Gestión del Proceso de Producción Agrícola;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;6;0;NO;1;6;6.7;6.7;6.6;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGE506;Infraestructura Agroindustrial;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;8;0;SI;1;8;6;6.7;6.5;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGEE14;Sustentabilidad y Mecánica Básica de Equipos Agrícolas;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;88-885-3-Electivos;I.P.;DIURNA;8;0;SI;1;8;5.5;6.5;6.6;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGEE15;Formulación de Raciones en Alimentación Animal;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;88-885-3-Electivos;I.P.;DIURNA;8;0;SI;1;5;4.5;6;6.4;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGEE22;Tecnologías de Cultivos Intensivos en Ambientes Controlados;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;88-885-3-Electivos;I.P.;DIURNA;4;0;NO;1;4;6;7;7;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGEE25;Energías Renovables y Sistemas de Reciclaje en la Agricultura;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;88-885-3-Electivos;I.P.;DIURNA;8;0;SI;1;3;4.8;6;6.5;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGEE32;Sanidad Animal;Administración;ELE;Electivos CFT - IP;ELEC;Electivos CFT-IP;88-885-3-Electivos;I.P.;DIURNA;4;0;NO;1;17;5;5.6;6.2;0;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGG403;Interpretación y Uso de Datos en Agricultura de Precisión;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;6;0;NO;1;7;4.4;6.3;6.1;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGI001;Proyecto Integrado;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;0;NO;1;27;6.7;6.6;6.6;0;;14.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGI002;Proyecto de Título Profesional;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;8;0;SI;1;7;6.3;6.3;6.7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AGO325;Manejo de Suelo y Nutrición Vegetal;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-4;I.P.;DIURNA;2;0;NO;2;54;4.3;5.3;5.4;16;;;;0;SI;27
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APA4V1;Desarrollo de Personas en el Sector Público;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;2;0;NO;1;23;4.3;6.1;6.3;3;;17.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APB4V1;Herramientas de Productividad para la Gestión Pública;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;2;0;NO;1;23;5.8;6.2;6.7;0;;25.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APB4V2;Bases de Datos para la Gestión Pública;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;2;0;NO;1;23;5.3;6;6.2;0;;22.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APCM02;Software ERP;Administración;47;Contabilidad General;470;SIN MENCIÓN;47-470-6;C.F.T.;VESPERTINA;4;0;SI;1;1;6.5;6;6;0;;11.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APD4V1;Contabilidad Pública;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;4;0;SI;1;23;6.2;6.3;6.1;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APFN01;Finanzas;Administración;47;Contabilidad General;470;SIN MENCIÓN;47-470-6;C.F.T.;VESPERTINA;3;0;NO;1;2;6.3;5.6;5.5;0;60;;38.5;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APO4V4;Plataformas de Compras;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;4;0;SI;1;22;5.4;6.6;6.7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APO4V7;Fundamentos Normativos de la Administración Pública;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;2;0;NO;1;23;6.8;4.1;5.8;0;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APPE01;Planificación Estratégica y Control Gestión;Administración;IAD;Ingeniería en Administración de Empresas;IAD;SIN MENCIÓN;IAD-IAD-1;I.P.;VESPERTINA;8;0;SI;1;17;5.6;5.4;5.9;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APPIV1;Proyecto Integrado;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;4;0;SI;1;23;6;6.1;6.4;2;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;APTS01;Taller de Simulación de Negocios;Administración;IAD;Ingeniería en Administración de Empresas;IAD;SIN MENCIÓN;IAD-IAD-1;I.P.;VESPERTINA;6;0;NO;1;1;6.4;2.7;6.1;0;;5.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAD01;Administración;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;2;0;NO;1;29;5.9;5.6;5.5;0;;27.6;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAD01;Administración;Mecánica;ME;Técnico en Mecánica y Electromovilidad Automotriz;ME1;Sin Mención;ME-ME1-1;C.F.T.;VESPERTINA;2;0;NO;1;34;6.4;6;5.8;2;;46.2;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;VESPERTINA;2;0;NO;1;16;5.4;4.6;4.3;2;;16.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-4;I.P.;DIURNA;2;0;NO;1;25;5.7;5.9;6.4;2;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Salud;48;Técnico en Enfermería;480;SIN MENCIÓN;48-480-7;C.F.T.;DIURNA;2;0;NO;3;77;6.1;4;6;7;;17.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Salud;TO;Técnico en Odontología;TO;Sin mención;TO-TO-1;C.F.T.;DIURNA;2;0;NO;2;45;6.2;5.7;6.1;0;;15.4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Gastronomía;GA;Gastronomía;GA;Sin Mención;GA-GA-1;C.F.T.;DIURNA;2;0;NO;1;26;5.9;4.8;6.1;2;;17.9;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Diseño e Industria Digital;DDW;Diseño Digital y Web;DDW;Sin mención;DDW-DDW-1;C.F.T.;DIURNA;2;0;NO;1;17;5.7;5.1;6.5;0;;11.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;2;0;NO;1;30;6;4.8;6.5;4;;24;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATAN01;Administración;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-2;C.F.T.;VESPERTINA;2;0;NO;1;31;6.3;5.2;4.8;1;;22.2;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATFI01;Finanzas;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;6;0;NO;1;36;4.8;6.4;5.7;2;;;;0;NO;0
